Date,Gold_future
2/17/2017,1237.6
2/16/2017,1240
2/15/2017,1231.7
2/14/2017,1223.9
2/13/2017,1224.4
2/10/2017,1234.4
2/9/2017,1235.1
2/8/2017,1237.6
2/7/2017,1234.2
2/6/2017,1230
2/3/2017,1218.5
2/2/2017,1216.7
2/1/2017,1205.6
1/31/2017,1208.6
1/30/2017,1193.2
1/27/2017,1188.4
1/26/2017,1189.8
1/25/2017,1197.8
1/24/2017,1210.8
1/23/2017,1215.6
1/20/2017,1204.9
1/19/2017,1201.5
1/18/2017,1212.1
1/17/2017,1212.9
1/13/2017,1196.2
1/12/2017,1199.8
1/11/2017,1196.6
1/10/2017,1185.5
1/9/2017,1184.9
1/6/2017,1173.4
1/5/2017,1181.3
1/4/2017,1165.3
1/3/2017,1162
12/30/2016,1151.7
12/29/2016,1158.1
12/28/2016,1139.4
12/27/2016,1137.3
12/23/2016,1131.9
12/22/2016,1128.8
12/21/2016,1131.1
12/20/2016,1131.5
12/19/2016,1140.5
12/16/2016,1135.3
12/15/2016,1127.8
12/14/2016,1161.3
12/13/2016,1156.7
12/12/2016,1163.5
12/9/2016,1159.4
12/8/2016,1169.8
12/7/2016,1175
12/6/2016,1167.6
12/5/2016,1174
12/2/2016,1175.1
12/1/2016,1166.9
11/30/2016,1170.8
11/29/2016,1187.9
11/28/2016,1190.8
11/25/2016,1178.4
11/23/2016,1189.3
11/22/2016,1211.2
11/21/2016,1209.8
11/18/2016,1208.7
11/17/2016,1216.9
11/16/2016,1223.9
11/15/2016,1224.5
11/14/2016,1221.7
11/11/2016,1224.3
11/10/2016,1266.4
11/9/2016,1273.5
11/8/2016,1274.5
11/7/2016,1279.4
11/4/2016,1304.5
11/3/2016,1303.3
11/2/2016,1308.2
11/1/2016,1288
10/31/2016,1273.1
10/28/2016,1276.8
10/27/2016,1267.9
10/26/2016,1264.8
10/25/2016,1271.9
10/24/2016,1262
10/21/2016,1265.9
10/20/2016,1265.6
10/19/2016,1267.9
10/18/2016,1260.8
10/17/2016,1254.4
10/14/2016,1253.1
10/13/2016,1255
10/12/2016,1251.1
10/11/2016,1253
10/10/2016,1257.5
10/7/2016,1248.9
10/6/2016,1249.8
10/5/2016,1265.2
10/4/2016,1266.3
10/3/2016,1309
9/30/2016,1313.3
9/29/2016,1321.7
9/28/2016,1319.4
9/27/2016,1326
9/26/2016,1339.8
9/23/2016,1337.5
9/22/2016,1340.7
9/21/2016,1327.2
9/20/2016,1314
9/19/2016,1313.8
9/16/2016,1306.2
9/15/2016,1314
9/14/2016,1322
9/13/2016,1319.6
9/12/2016,1321.6
9/9/2016,1330.7
9/8/2016,1337.8
9/7/2016,1345.3
9/6/2016,1350.4
9/2/2016,1323.2
9/1/2016,1313.6
8/31/2016,1307.9
8/30/2016,1313
8/29/2016,1322.9
8/26/2016,1321.5
8/25/2016,1320.1
8/24/2016,1324.4
8/23/2016,1340.6
8/22/2016,1337.7
8/19/2016,1340.4
8/18/2016,1351.2
8/17/2016,1342.7
8/16/2016,1350.5
8/15/2016,1340.3
8/12/2016,1335.8
8/11/2016,1342.5
8/10/2016,1344.3
8/9/2016,1339
8/8/2016,1333.4
8/5/2016,1336.4
8/4/2016,1358.8
8/3/2016,1356.1
8/2/2016,1364.4
8/1/2016,1351.4
7/29/2016,1349
7/28/2016,1332.3
7/27/2016,1326.7
7/26/2016,1320.8
7/25/2016,1319.5
7/22/2016,1323.4
7/21/2016,1331
7/20/2016,1319.3
7/19/2016,1332.3
7/18/2016,1329.3
7/15/2016,1327.4
7/14/2016,1332.2
7/13/2016,1343.6
7/12/2016,1335.3
7/11/2016,1356.6
7/8/2016,1358.4
7/7/2016,1362.1
7/6/2016,1367.1
7/5/2016,1358.7
7/1/2016,1339
6/30/2016,1320.6
