Date,Oil_future
2/17/2017,53.4
2/16/2017,53.36
2/15/2017,53.11
2/14/2017,53.2
2/13/2017,52.93
2/10/2017,53.86
2/9/2017,53
2/8/2017,52.34
2/7/2017,52.17
2/6/2017,53.01
2/3/2017,53.83
2/2/2017,53.54
2/1/2017,53.88
1/31/2017,52.81
1/30/2017,52.63
1/27/2017,53.17
1/26/2017,53.78
1/25/2017,52.75
1/24/2017,53.18
1/23/2017,52.75
1/20/2017,52.42
1/19/2017,51.37
1/18/2017,51.08
1/17/2017,52.48
1/13/2017,52.37
1/12/2017,53.01
1/11/2017,52.25
1/10/2017,50.82
1/9/2017,51.96
1/6/2017,53.99
1/5/2017,53.76
1/4/2017,53.26
1/3/2017,52.33
12/30/2016,53.72
12/29/2016,53.77
12/28/2016,54.06
12/27/2016,53.9
12/23/2016,53.02
12/22/2016,52.95
12/21/2016,52.49
12/20/2016,52.23
12/19/2016,52.12
12/16/2016,51.9
12/15/2016,50.9
12/14/2016,51.04
12/13/2016,52.98
12/12/2016,52.83
12/9/2016,51.5
12/8/2016,50.84
12/7/2016,49.77
12/6/2016,50.93
12/5/2016,51.79
12/2/2016,51.68
12/1/2016,51.06
11/30/2016,49.44
11/29/2016,45.23
11/28/2016,47.08
11/25/2016,46.06
11/23/2016,47.96
11/22/2016,48.03
11/21/2016,47.49
11/18/2016,45.69
11/17/2016,45.42
11/16/2016,45.57
11/15/2016,45.81
11/14/2016,43.32
11/11/2016,43.41
11/10/2016,44.66
11/9/2016,45.27
11/8/2016,44.98
11/7/2016,44.89
11/4/2016,44.07
11/3/2016,44.66
11/2/2016,45.34
11/1/2016,46.67
10/31/2016,46.86
10/28/2016,48.7
10/27/2016,49.72
10/26/2016,49.18
10/25/2016,49.96
10/24/2016,50.52
10/21/2016,50.85
10/20/2016,50.43
10/19/2016,51.6
10/18/2016,50.29
10/17/2016,49.94
10/14/2016,50.35
10/13/2016,50.44
10/12/2016,50.18
10/11/2016,50.79
10/10/2016,51.35
10/7/2016,49.81
10/6/2016,50.44
10/5/2016,49.83
10/4/2016,48.69
10/3/2016,48.81
9/30/2016,48.24
9/29/2016,47.83
9/28/2016,47.05
9/27/2016,44.67
9/26/2016,45.93
9/23/2016,44.48
9/22/2016,46.32
9/21/2016,45.34
9/20/2016,43.44
9/19/2016,43.3
9/16/2016,43.03
9/15/2016,43.91
9/14/2016,43.58
9/13/2016,44.9
9/12/2016,46.29
9/9/2016,45.88
9/8/2016,47.62
9/7/2016,45.5
9/6/2016,44.83
9/2/2016,44.44
9/1/2016,43.16
8/31/2016,44.7
8/30/2016,46.35
8/29/2016,46.98
8/26/2016,47.64
8/25/2016,47.33
8/24/2016,46.77
8/23/2016,48.1
8/22/2016,47.05
8/19/2016,48.52
8/18/2016,48.22
8/17/2016,46.79
8/16/2016,46.58
8/15/2016,45.74
8/12/2016,44.49
8/11/2016,43.49
8/10/2016,41.71
8/9/2016,42.77
8/8/2016,43.02
8/5/2016,41.8
8/4/2016,41.93
8/3/2016,40.83
8/2/2016,39.51
8/1/2016,40.06
7/29/2016,41.6
7/28/2016,41.14
7/27/2016,41.92
7/26/2016,42.92
7/25/2016,43.13
7/22/2016,44.19
7/21/2016,44.75
7/20/2016,44.94
7/19/2016,44.65
7/18/2016,45.24
7/15/2016,45.95
7/14/2016,45.68
7/13/2016,44.75
7/12/2016,46.8
7/11/2016,44.76
7/8/2016,45.41
7/7/2016,45.14
7/6/2016,47.43
7/5/2016,46.6
7/1/2016,48.99
6/30/2016,48.33
6/29/2016,49.88
6/28/2016,47.85
6/27/2016,46.33
6/24/2016,47.64
6/23/2016,50.11
6/22/2016,49.13
6/21/2016,48.85
6/20/2016,49.37
6/17/2016,47.98
6/16/2016,46.21
6/15/2016,48.01
6/14/2016,48.49
6/13/2016,48.88
6/10/2016,49.07
6/9/2016,50.56
6/8/2016,51.23
6/7/2016,50.36
6/6/2016,49.69
6/3/2016,48.62
6/2/2016,49.17
6/1/2016,49.01
5/31/2016,49.1
5/27/2016,49.33
5/26/2016,49.48
5/25/2016,49.56
5/24/2016,48.62
5/23/2016,48.08
5/20/2016,47.75
5/19/2016,48.16
5/18/2016,48.19
5/17/2016,48.31
5/16/2016,47.72
5/13/2016,46.21
5/12/2016,46.7
5/11/2016,46.23
5/10/2016,44.66
5/9/2016,43.44
5/6/2016,44.66
5/5/2016,44.32
5/4/2016,43.78
5/3/2016,43.65
5/2/2016,44.78
4/29/2016,45.92
4/28/2016,46.03
4/27/2016,45.33
4/26/2016,44.04
4/25/2016,42.64
4/22/2016,43.73
4/21/2016,43.18
4/20/2016,42.63
4/19/2016,41.08
4/18/2016,39.78
4/15/2016,40.36
4/14/2016,41.5
4/13/2016,41.76
4/12/2016,42.17
4/11/2016,40.36
4/8/2016,39.72
4/7/2016,37.26
4/6/2016,37.75
4/5/2016,35.89
4/4/2016,35.7
4/1/2016,36.79
3/31/2016,38.34
3/30/2016,38.32
3/29/2016,38.28
3/28/2016,39.39
3/24/2016,39.46
3/23/2016,39.79
3/22/2016,41.45
3/21/2016,39.91
3/18/2016,39.44
3/17/2016,40.2
3/16/2016,38.46
3/15/2016,36.34
3/14/2016,37.18
3/11/2016,38.5
3/10/2016,37.84
3/9/2016,38.29
3/8/2016,36.5
3/7/2016,37.9
3/4/2016,35.92
3/3/2016,34.57
3/2/2016,34.66
3/1/2016,34.4
2/29/2016,33.75
2/26/2016,32.78
2/25/2016,33.07
2/24/2016,32.15
2/23/2016,31.87
2/22/2016,31.48
2/19/2016,29.64
2/18/2016,30.77
2/17/2016,30.66
2/16/2016,29.04
2/12/2016,29.44
2/11/2016,26.21
2/10/2016,27.45
2/9/2016,27.94
2/8/2016,29.69
2/5/2016,30.89
2/4/2016,31.72
2/3/2016,32.28
2/2/2016,29.88
2/1/2016,31.62
1/29/2016,33.62
1/28/2016,33.22
1/27/2016,32.3
1/26/2016,31.45
1/25/2016,30.34
1/22/2016,32.19
1/21/2016,29.53
1/20/2016,26.55
1/19/2016,28.46
1/15/2016,29.42
1/14/2016,31.2
1/13/2016,30.48
1/12/2016,30.44
1/11/2016,31.41
1/8/2016,33.16
1/7/2016,33.27
1/6/2016,33.97
1/5/2016,35.97
1/4/2016,36.76
12/31/2015,37.04
12/30/2015,36.6
12/29/2015,37.87
12/28/2015,36.81
